Date	Hours	FI
24-03-2014	13-14	29.94
24-03-2014	14-15	29.92
24-03-2014	15-16	29.95
24-03-2014	16-17	29.93
24-03-2014	17-18	30.8
24-03-2014	18-19	30.04
24-03-2014	19-20	29.76
24-03-2014	20-21	28.6
24-03-2014	21-22	27.4
24-03-2014	22-23	25.97
24-03-2014	23-00	25.31
25-03-2014	00-01	25.92
25-03-2014	01-02	25.66
25-03-2014	02-03	25.6
25-03-2014	03-04	25.86
25-03-2014	04-05	26.13
25-03-2014	05-06	27.79
25-03-2014	06-07	29.4
25-03-2014	07-08	31.96
25-03-2014	08-09	40.18
25-03-2014	09-10	33.63
25-03-2014	10-11	30.14
25-03-2014	11-12	29.95
25-03-2014	12-13	29.91
25-03-2014	13-14	29.48
25-03-2014	14-15	28.95
25-03-2014	15-16	29.1
25-03-2014	16-17	28.87
25-03-2014	17-18	29.91
25-03-2014	18-19	33.93
25-03-2014	19-20	29.94
25-03-2014	20-21	26.32
25-03-2014	21-22	25.75
25-03-2014	22-23	24.95
25-03-2014	23-00	23.86
26-03-2014	00-01	24.03
26-03-2014	01-02	23.48
26-03-2014	02-03	23.78
26-03-2014	03-04	24.61
26-03-2014	04-05	25.36
26-03-2014	05-06	29.94
26-03-2014	06-07	31.97
26-03-2014	07-08	36.78
26-03-2014	08-09	34.52
26-03-2014	09-10	38.42
26-03-2014	10-11	43.32
26-03-2014	11-12	31.85
26-03-2014	12-13	29.94
26-03-2014	13-14	28.94
26-03-2014	14-15	27.62
26-03-2014	15-16	28.8
26-03-2014	16-17	28.55
26-03-2014	17-18	30.36
26-03-2014	18-19	40.19
26-03-2014	19-20	31.42
26-03-2014	20-21	29.88
26-03-2014	21-22	28.31
26-03-2014	22-23	26.97
26-03-2014	23-00	26.39
27-03-2014	00-01	26.01
27-03-2014	01-02	25.61
27-03-2014	02-03	25
27-03-2014	03-04	25.74
27-03-2014	04-05	26.23
27-03-2014	05-06	29.84
27-03-2014	06-07	37.91
27-03-2014	07-08	43.9
27-03-2014	08-09	45.32
27-03-2014	09-10	43.95
27-03-2014	10-11	39.03
27-03-2014	11-12	43.02
27-03-2014	12-13	43.05
27-03-2014	13-14	36.18
27-03-2014	14-15	33.34
27-03-2014	15-16	30.04
27-03-2014	16-17	30.13
27-03-2014	17-18	37.69
27-03-2014	18-19	41.56
27-03-2014	19-20	36.52
27-03-2014	20-21	29.58
27-03-2014	21-22	29.11
27-03-2014	22-23	27.39
27-03-2014	23-00	26.91
28-03-2014	00-01	27.03
28-03-2014	01-02	26.71
28-03-2014	02-03	26.26
28-03-2014	03-04	26.62
28-03-2014	04-05	28.04
28-03-2014	05-06	30.07
28-03-2014	06-07	40.05
28-03-2014	07-08	40.06
28-03-2014	08-09	51.33
28-03-2014	09-10	50.24
28-03-2014	10-11	40.05
28-03-2014	11-12	35.01
28-03-2014	12-13	31.11
28-03-2014	13-14	30.39
28-03-2014	14-15	29.76
28-03-2014	15-16	29.73
28-03-2014	16-17	30.01
28-03-2014	17-18	34.85
28-03-2014	18-19	40.04
28-03-2014	19-20	30.07
28-03-2014	20-21	29.37
28-03-2014	21-22	29.1
28-03-2014	22-23	27.54
28-03-2014	23-00	26.88
29-03-2014	00-01	26.86
29-03-2014	01-02	26.59
29-03-2014	02-03	26.27
29-03-2014	03-04	26.32
29-03-2014	04-05	27.05
29-03-2014	05-06	27.08
29-03-2014	06-07	27.16
29-03-2014	07-08	28.11
29-03-2014	08-09	29.78
29-03-2014	09-10	30.94
29-03-2014	10-11	30.96
29-03-2014	11-12	30.5
29-03-2014	12-13	29.5
29-03-2014	13-14	28.87
29-03-2014	14-15	28.39
29-03-2014	15-16	29.23
29-03-2014	16-17	30.15
29-03-2014	17-18	33.63
29-03-2014	18-19	37.83
29-03-2014	19-20	37.54
29-03-2014	20-21	28.8
29-03-2014	21-22	27.78
29-03-2014	22-23	27.45
29-03-2014	23-00	27.35
30-03-2014	00-01	26.74
30-03-2014	01-02	25.91
30-03-2014	02-03	25.00
30-03-2014	03-04	24.44
30-03-2014	04-05	24.79
30-03-2014	05-06	25.63
30-03-2014	06-07	25.86
30-03-2014	07-08	28.08
30-03-2014	08-09	29.59
30-03-2014	09-10	32.14
30-03-2014	10-11	31.7
30-03-2014	11-12	32.28
30-03-2014	12-13	31.3
30-03-2014	13-14	29.6
30-03-2014	14-15	29.57
30-03-2014	15-16	29.54
30-03-2014	16-17	30.16
30-03-2014	17-18	30.99
30-03-2014	18-19	40
30-03-2014	19-20	40.01
30-03-2014	20-21	37.65
30-03-2014	21-22	30.02
30-03-2014	22-23	28.04
30-03-2014	23-00	27.62
31-03-2014	00-01	27.38
31-03-2014	01-02	27.25
31-03-2014	02-03	27.03
31-03-2014	03-04	26.55
31-03-2014	04-05	29.14
31-03-2014	05-06	37.52
31-03-2014	06-07	50.12
31-03-2014	07-08	54.03
31-03-2014	08-09	54.1
31-03-2014	09-10	54.04
31-03-2014	10-11	54.08
31-03-2014	11-12	54.04
31-03-2014	12-13	54.02
31-03-2014	13-14	49.72
31-03-2014	14-15	47.93
31-03-2014	15-16	37.51
31-03-2014	16-17	38.74
31-03-2014	17-18	33.24
31-03-2014	18-19	40.05
31-03-2014	19-20	40.07
31-03-2014	20-21	34
31-03-2014	21-22	30.79
31-03-2014	22-23	29.48
31-03-2014	23-00	28.04
01-04-2014	00-01	27.89
01-04-2014	01-02	27.23
01-04-2014	02-03	26.99
01-04-2014	03-04	27.22
01-04-2014	04-05	28.02
01-04-2014	05-06	30.97
01-04-2014	06-07	45.96
01-04-2014	07-08	51.47
01-04-2014	08-09	58.42
01-04-2014	09-10	52.67
01-04-2014	10-11	53.32
01-04-2014	11-12	47.88
01-04-2014	12-13	45.5
01-04-2014	13-14	34.64
01-04-2014	14-15	34.11
01-04-2014	15-16	32.82
01-04-2014	16-17	31.66
01-04-2014	17-18	32.6
01-04-2014	18-19	37.66
01-04-2014	19-20	39.79
01-04-2014	20-21	36.5
01-04-2014	21-22	32.86
01-04-2014	22-23	29.56
01-04-2014	23-00	28.1
02-04-2014	00-01	28.26
02-04-2014	01-02	27.14
02-04-2014	02-03	26.74
02-04-2014	03-04	26.28
02-04-2014	04-05	26.93
02-04-2014	05-06	34.49
02-04-2014	06-07	45.88
02-04-2014	07-08	52.59
02-04-2014	08-09	59.6
02-04-2014	09-10	54.35
02-04-2014	10-11	45.31
02-04-2014	11-12	41.18
02-04-2014	12-13	36.87
02-04-2014	13-14	31.43
02-04-2014	14-15	30.11
02-04-2014	15-16	30.21
02-04-2014	16-17	29.61
02-04-2014	17-18	31.09
02-04-2014	18-19	38.65
02-04-2014	19-20	44.68
02-04-2014	20-21	39.98
02-04-2014	21-22	38.04
02-04-2014	22-23	29.9
02-04-2014	23-00	28.83
03-04-2014	00-01	29.03
03-04-2014	01-02	28.52
03-04-2014	02-03	27.48
03-04-2014	03-04	27.09
03-04-2014	04-05	28.3
03-04-2014	05-06	35.17
03-04-2014	06-07	39.74
03-04-2014	07-08	46.99
03-04-2014	08-09	53.23
03-04-2014	09-10	45.93
03-04-2014	10-11	41.79
03-04-2014	11-12	44.98
03-04-2014	12-13	41.36
03-04-2014	13-14	34.45
03-04-2014	14-15	34.6
03-04-2014	15-16	31.97
03-04-2014	16-17	30.76
03-04-2014	17-18	34.8
03-04-2014	18-19	39.96
03-04-2014	19-20	32.28
03-04-2014	20-21	32.85
03-04-2014	21-22	30.51
03-04-2014	22-23	29.02
03-04-2014	23-00	27.3
04-04-2014	00-01	26.92
04-04-2014	01-02	25.81
04-04-2014	02-03	25.88
04-04-2014	03-04	25.07
04-04-2014	04-05	25.9
04-04-2014	05-06	39.41
04-04-2014	06-07	51.08
04-04-2014	07-08	55.03
04-04-2014	08-09	61.01
04-04-2014	09-10	59.97
04-04-2014	10-11	61.04
04-04-2014	11-12	52.35
04-04-2014	12-13	56.05
04-04-2014	13-14	50.68
04-04-2014	14-15	44.36
04-04-2014	15-16	36.57
04-04-2014	16-17	34.51
04-04-2014	17-18	31.13
04-04-2014	18-19	35.85
04-04-2014	19-20	50.92
04-04-2014	20-21	28.84
04-04-2014	21-22	28.23
04-04-2014	22-23	27.38
04-04-2014	23-00	25.84
05-04-2014	00-01	25.5
05-04-2014	01-02	25.23
05-04-2014	02-03	25.18
05-04-2014	03-04	25.18
05-04-2014	04-05	25.28
05-04-2014	05-06	25.62
05-04-2014	06-07	26.88
05-04-2014	07-08	27.77
05-04-2014	08-09	28.73
05-04-2014	09-10	29.96
05-04-2014	10-11	29.78
05-04-2014	11-12	29.52
05-04-2014	12-13	28.74
05-04-2014	13-14	27.88
05-04-2014	14-15	27.09
05-04-2014	15-16	27.05
05-04-2014	16-17	26.99
05-04-2014	17-18	28.22
05-04-2014	18-19	30.79
05-04-2014	19-20	31.87
05-04-2014	20-21	30.48
05-04-2014	21-22	29.6
05-04-2014	22-23	28.67
05-04-2014	23-00	28.13
06-04-2014	00-01	27.46
06-04-2014	01-02	25.54
06-04-2014	02-03	24.78
06-04-2014	03-04	24.16
06-04-2014	04-05	24.35
06-04-2014	05-06	24.52
06-04-2014	06-07	24.25
06-04-2014	07-08	24.3
06-04-2014	08-09	26.87
06-04-2014	09-10	28.27
06-04-2014	10-11	29.5
06-04-2014	11-12	30.77
06-04-2014	12-13	28.77
06-04-2014	13-14	28.72
06-04-2014	14-15	28.44
06-04-2014	15-16	28.72
06-04-2014	16-17	28.79
06-04-2014	17-18	34.42
06-04-2014	18-19	36.41
06-04-2014	19-20	36.81
06-04-2014	20-21	32.16
06-04-2014	21-22	36.88
06-04-2014	22-23	28.68
06-04-2014	23-00	25.41
07-04-2014	00-01	24.8
07-04-2014	01-02	23.96
07-04-2014	02-03	23.59
07-04-2014	03-04	22.97
07-04-2014	04-05	24.25
07-04-2014	05-06	35.91
07-04-2014	06-07	51.03
07-04-2014	07-08	60.05
07-04-2014	08-09	54.06
07-04-2014	09-10	60.04
07-04-2014	10-11	60.02
07-04-2014	11-12	54.99
07-04-2014	12-13	60.03
07-04-2014	13-14	36.97
07-04-2014	14-15	42.2
07-04-2014	15-16	33.01
07-04-2014	16-17	31.93
07-04-2014	17-18	29.6
07-04-2014	18-19	33.84
07-04-2014	19-20	35.26
07-04-2014	20-21	33.33
07-04-2014	21-22	29.67
07-04-2014	22-23	27.76
07-04-2014	23-00	26.85
08-04-2014	00-01	25
08-04-2014	01-02	23.91
08-04-2014	02-03	21.92
08-04-2014	03-04	21.44
08-04-2014	04-05	22.69
08-04-2014	05-06	33.86
08-04-2014	06-07	39.2
08-04-2014	07-08	38.24
08-04-2014	08-09	47.13
08-04-2014	09-10	45.94
08-04-2014	10-11	39.63
08-04-2014	11-12	36.81
08-04-2014	12-13	35.54
08-04-2014	13-14	36.77
08-04-2014	14-15	35.68
08-04-2014	15-16	35.93
08-04-2014	16-17	30.76
08-04-2014	17-18	28.78
08-04-2014	18-19	36.75
08-04-2014	19-20	34.82
08-04-2014	20-21	36.85
08-04-2014	21-22	28.72
08-04-2014	22-23	26.55
08-04-2014	23-00	23.81
09-04-2014	00-01	21.09
09-04-2014	01-02	19.51
09-04-2014	02-03	18.94
09-04-2014	03-04	20.39
09-04-2014	04-05	22.16
09-04-2014	05-06	29.09
09-04-2014	06-07	39.65
09-04-2014	07-08	40.76
09-04-2014	08-09	49.08
09-04-2014	09-10	46.23
09-04-2014	10-11	36.88
09-04-2014	11-12	36.84
09-04-2014	12-13	36.04
09-04-2014	13-14	36.81
09-04-2014	14-15	39.65
09-04-2014	15-16	37.05
09-04-2014	16-17	38.08
09-04-2014	17-18	30.54
09-04-2014	18-19	48.06
09-04-2014	19-20	38.28
09-04-2014	20-21	28.73
09-04-2014	21-22	37.2
09-04-2014	22-23	27.47
09-04-2014	23-00	26.44
10-04-2014	00-01	24.27
10-04-2014	01-02	24.36
10-04-2014	02-03	23.13
10-04-2014	03-04	22.83
10-04-2014	04-05	24.71
10-04-2014	05-06	31.06
10-04-2014	06-07	45.39
10-04-2014	07-08	56.04
10-04-2014	08-09	51.39
10-04-2014	09-10	48.09
10-04-2014	10-11	50.08
10-04-2014	11-12	46.08
10-04-2014	12-13	48.03
10-04-2014	13-14	45.58
10-04-2014	14-15	30.71
10-04-2014	15-16	34.13
10-04-2014	16-17	29.23
10-04-2014	17-18	32.21
10-04-2014	18-19	35.47
10-04-2014	19-20	42.01
10-04-2014	20-21	33.12
10-04-2014	21-22	29.38
10-04-2014	22-23	27.82
10-04-2014	23-00	26.51
11-04-2014	00-01	25.65
11-04-2014	01-02	24.61
11-04-2014	02-03	24.23
11-04-2014	03-04	24.92
11-04-2014	04-05	26.48
11-04-2014	05-06	33.16
11-04-2014	06-07	46.8
11-04-2014	07-08	60.04
11-04-2014	08-09	56.08
11-04-2014	09-10	56.09
11-04-2014	10-11	60.04
11-04-2014	11-12	56.07
11-04-2014	12-13	56.09
11-04-2014	13-14	46.05
11-04-2014	14-15	46.06
11-04-2014	15-16	38.49
11-04-2014	16-17	39.65
11-04-2014	17-18	35
11-04-2014	18-19	46.81
11-04-2014	19-20	29.61
11-04-2014	20-21	28.78
11-04-2014	21-22	29.32
11-04-2014	22-23	27.68
11-04-2014	23-00	24.81
12-04-2014	00-01	26.14
12-04-2014	01-02	25.91
12-04-2014	02-03	25.23
12-04-2014	03-04	24.76
12-04-2014	04-05	25.36
12-04-2014	05-06	25.23
12-04-2014	06-07	25.66
12-04-2014	07-08	25.88
12-04-2014	08-09	27.78
12-04-2014	09-10	28.04
12-04-2014	10-11	27.74
12-04-2014	11-12	27.35
12-04-2014	12-13	26.77
12-04-2014	13-14	24.66
12-04-2014	14-15	24.06
12-04-2014	15-16	24.6
12-04-2014	16-17	26.44
12-04-2014	17-18	27.21
12-04-2014	18-19	27.53
12-04-2014	19-20	27.94
12-04-2014	20-21	24.62
12-04-2014	21-22	24.08
12-04-2014	22-23	23.24
12-04-2014	23-00	22.94
13-04-2014	00-01	20.91
13-04-2014	01-02	16.11
13-04-2014	02-03	14.58
13-04-2014	03-04	13.67
13-04-2014	04-05	13.25
13-04-2014	05-06	14.02
13-04-2014	06-07	14.46
13-04-2014	07-08	15.23
13-04-2014	08-09	22.66
13-04-2014	09-10	27.1
13-04-2014	10-11	27.42
13-04-2014	11-12	27.25
13-04-2014	12-13	27.19
13-04-2014	13-14	27.17
13-04-2014	14-15	27.13
13-04-2014	15-16	25.72
13-04-2014	16-17	27.02
13-04-2014	17-18	26.93
13-04-2014	18-19	28.07
13-04-2014	19-20	28.24
13-04-2014	20-21	28.06
13-04-2014	21-22	28.42
13-04-2014	22-23	24.95
13-04-2014	23-00	22.6
14-04-2014	00-01	20.12
14-04-2014	01-02	14.94
14-04-2014	02-03	14.92
14-04-2014	03-04	15.78
14-04-2014	04-05	19.96
14-04-2014	05-06	27.7
14-04-2014	06-07	36.02
14-04-2014	07-08	35.66
14-04-2014	08-09	57.96
14-04-2014	09-10	68.93
14-04-2014	10-11	76.68
14-04-2014	11-12	76.1
14-04-2014	12-13	75.9
14-04-2014	13-14	55.92
14-04-2014	14-15	63.04
14-04-2014	15-16	56.47
14-04-2014	16-17	43.54
14-04-2014	17-18	41.96
14-04-2014	18-19	37.74
14-04-2014	19-20	29.32
14-04-2014	20-21	27.93
14-04-2014	21-22	27.48
14-04-2014	22-23	25.43
14-04-2014	23-00	21.31
15-04-2014	00-01	20.46
15-04-2014	01-02	19.52
15-04-2014	02-03	19.16
15-04-2014	03-04	20.33
15-04-2014	04-05	21.85
15-04-2014	05-06	27.6
15-04-2014	06-07	36.46
15-04-2014	07-08	37.1
15-04-2014	08-09	36.86
15-04-2014	09-10	38.13
15-04-2014	10-11	36.81
15-04-2014	11-12	36.89
15-04-2014	12-13	37.76
15-04-2014	13-14	33.54
15-04-2014	14-15	32.05
15-04-2014	15-16	30.01
15-04-2014	16-17	30.6
15-04-2014	17-18	28.62
15-04-2014	18-19	29.02
15-04-2014	19-20	27.34
15-04-2014	20-21	27.92
15-04-2014	21-22	27.93
15-04-2014	22-23	26.91
15-04-2014	23-00	26.6
16-04-2014	00-01	26.96
16-04-2014	01-02	26.87
16-04-2014	02-03	26.87
16-04-2014	03-04	26.96
16-04-2014	04-05	27.71
16-04-2014	05-06	29.13
16-04-2014	06-07	34
16-04-2014	07-08	42.8
16-04-2014	08-09	43.46
16-04-2014	09-10	43.49
16-04-2014	10-11	39.96
16-04-2014	11-12	43.3
16-04-2014	12-13	42.54
16-04-2014	13-14	30.5
16-04-2014	14-15	30.91
16-04-2014	15-16	37.45
16-04-2014	16-17	34.54
16-04-2014	17-18	27.92
16-04-2014	18-19	29.91
16-04-2014	19-20	34.52
16-04-2014	20-21	34.52
16-04-2014	21-22	33.45
16-04-2014	22-23	26.36
16-04-2014	23-00	25.51
17-04-2014	00-01	23.59
17-04-2014	01-02	22.24
17-04-2014	02-03	21.74
17-04-2014	03-04	21.66
17-04-2014	04-05	22.46
17-04-2014	05-06	30.62
17-04-2014	06-07	43.93
17-04-2014	07-08	60.76
17-04-2014	08-09	43.56
17-04-2014	09-10	44.82
17-04-2014	10-11	39.7
17-04-2014	11-12	37.15
17-04-2014	12-13	37.92
17-04-2014	13-14	34.66
17-04-2014	14-15	34.62
17-04-2014	15-16	36.95
17-04-2014	16-17	31.92
17-04-2014	17-18	34.3
17-04-2014	18-19	36.59
17-04-2014	19-20	36.49
17-04-2014	20-21	38.32
17-04-2014	21-22	33.98
17-04-2014	22-23	26.16
17-04-2014	23-00	22.13
18-04-2014	00-01	22.62
18-04-2014	01-02	22.26
18-04-2014	02-03	22.31
18-04-2014	03-04	21.17
18-04-2014	04-05	22.05
18-04-2014	05-06	22.55
18-04-2014	06-07	22.39
18-04-2014	07-08	23.1
18-04-2014	08-09	24.21
18-04-2014	09-10	24.71
18-04-2014	10-11	25.06
18-04-2014	11-12	24.79
18-04-2014	12-13	24.42
18-04-2014	13-14	24.23
18-04-2014	14-15	24.95
18-04-2014	15-16	25.66
18-04-2014	16-17	26.72
18-04-2014	17-18	26.76
18-04-2014	18-19	39.9
18-04-2014	19-20	42.81
18-04-2014	20-21	43.03
18-04-2014	21-22	42.87
18-04-2014	22-23	27.81
18-04-2014	23-00	25.57
19-04-2014	00-01	24.7
19-04-2014	01-02	24.4
19-04-2014	02-03	24.23
19-04-2014	03-04	23.85
19-04-2014	04-05	24.17
19-04-2014	05-06	24.71
19-04-2014	06-07	26.31
19-04-2014	07-08	28.32
19-04-2014	08-09	32.41
19-04-2014	09-10	34.84
19-04-2014	10-11	31.45
19-04-2014	11-12	35.33
19-04-2014	12-13	30.45
19-04-2014	13-14	30.91
19-04-2014	14-15	28.86
19-04-2014	15-16	27.37
19-04-2014	16-17	29.11
19-04-2014	17-18	29.4
19-04-2014	18-19	30.99
19-04-2014	19-20	31.23
19-04-2014	20-21	37.79
19-04-2014	21-22	37.8
19-04-2014	22-23	31.06
19-04-2014	23-00	26.78
20-04-2014	00-01	21.34
20-04-2014	01-02	19.61
20-04-2014	02-03	19.87
20-04-2014	03-04	19.88
20-04-2014	04-05	19.78
20-04-2014	05-06	19.9
20-04-2014	06-07	19.79
20-04-2014	07-08	19.62
20-04-2014	08-09	24.54
20-04-2014	09-10	26.79
20-04-2014	10-11	28.32
20-04-2014	11-12	29.61
20-04-2014	12-13	26.78
20-04-2014	13-14	26.72
20-04-2014	14-15	25.04
20-04-2014	15-16	25.23
20-04-2014	16-17	24.06
20-04-2014	17-18	24.65
20-04-2014	18-19	26.73
20-04-2014	19-20	29.33
20-04-2014	20-21	34.71
20-04-2014	21-22	35.83
20-04-2014	22-23	31.67
20-04-2014	23-00	26.43
21-04-2014	00-01	21.32
21-04-2014	01-02	19.49
21-04-2014	02-03	19.91
21-04-2014	03-04	19.88
21-04-2014	04-05	20.09
21-04-2014	05-06	20.48
21-04-2014	06-07	20.79
21-04-2014	07-08	21.89
21-04-2014	08-09	28.34
21-04-2014	09-10	29.41
21-04-2014	10-11	32.13
21-04-2014	11-12	30.13
21-04-2014	12-13	30.9
21-04-2014	13-14	26.31
21-04-2014	14-15	24.59
21-04-2014	15-16	24.69
21-04-2014	16-17	25.74
21-04-2014	17-18	26.78
21-04-2014	18-19	29.86
21-04-2014	19-20	30.97
21-04-2014	20-21	29.86
21-04-2014	21-22	27.47
21-04-2014	22-23	24.3
21-04-2014	23-00	22.91
22-04-2014	00-01	21.88
22-04-2014	01-02	21.17
22-04-2014	02-03	20.9
22-04-2014	03-04	21.19
22-04-2014	04-05	24.03
22-04-2014	05-06	29.44
22-04-2014	06-07	35.35
22-04-2014	07-08	46.03
22-04-2014	08-09	54.2
22-04-2014	09-10	48.58
22-04-2014	10-11	44.04
22-04-2014	11-12	43.58
22-04-2014	12-13	40.35
22-04-2014	13-14	27.7
22-04-2014	14-15	26.77
22-04-2014	15-16	26.75
22-04-2014	16-17	26.75
22-04-2014	17-18	26.74
22-04-2014	18-19	26.75
22-04-2014	19-20	27.48
22-04-2014	20-21	29.84
22-04-2014	21-22	26.77
22-04-2014	22-23	25.36
22-04-2014	23-00	22.37
23-04-2014	00-01	20.72
23-04-2014	01-02	19.81
23-04-2014	02-03	19.69
23-04-2014	03-04	19.95
23-04-2014	04-05	21.14
23-04-2014	05-06	23.53
23-04-2014	06-07	26.16
23-04-2014	07-08	28.69
23-04-2014	08-09	33.41
23-04-2014	09-10	30.05
23-04-2014	10-11	29.63
23-04-2014	11-12	29.39
23-04-2014	12-13	30.26
23-04-2014	13-14	28.3
23-04-2014	14-15	27.85
23-04-2014	15-16	27.76
23-04-2014	16-17	27.26
23-04-2014	17-18	27.35
23-04-2014	18-19	27.72
23-04-2014	19-20	27.93
23-04-2014	20-21	27.95
23-04-2014	21-22	27.66
23-04-2014	22-23	26.28
23-04-2014	23-00	23.66
24-04-2014	00-01	22.52
24-04-2014	01-02	21.76
24-04-2014	02-03	21.72
24-04-2014	03-04	22.51
24-04-2014	04-05	23.53
24-04-2014	05-06	25.44
24-04-2014	06-07	27.45
24-04-2014	07-08	31.87
24-04-2014	08-09	34.79
24-04-2014	09-10	34.42
24-04-2014	10-11	32.64
24-04-2014	11-12	31.56
24-04-2014	12-13	31.32
24-04-2014	13-14	31.13
24-04-2014	14-15	31.29
24-04-2014	15-16	29.95
24-04-2014	16-17	29.7
24-04-2014	17-18	28.49
24-04-2014	18-19	28.63
24-04-2014	19-20	28.89
24-04-2014	20-21	29.62
24-04-2014	21-22	29.31
24-04-2014	22-23	28.05
24-04-2014	23-00	26.75
25-04-2014	00-01	25.06
25-04-2014	01-02	24.31
25-04-2014	02-03	24.36
25-04-2014	03-04	24.51
25-04-2014	04-05	25.63
25-04-2014	05-06	27.32
25-04-2014	06-07	30.9
25-04-2014	07-08	49.13
25-04-2014	08-09	60.09
25-04-2014	09-10	40.31
25-04-2014	10-11	40.3
25-04-2014	11-12	38.62
25-04-2014	12-13	38
25-04-2014	13-14	34.95
25-04-2014	14-15	29.78
25-04-2014	15-16	28.92
25-04-2014	16-17	28.43
25-04-2014	17-18	28.11
25-04-2014	18-19	42.38
25-04-2014	19-20	42.35
25-04-2014	20-21	42.35
25-04-2014	21-22	41.57
25-04-2014	22-23	27.24
25-04-2014	23-00	25.64
26-04-2014	00-01	26.28
26-04-2014	01-02	25.01
26-04-2014	02-03	24.67
26-04-2014	03-04	24.67
26-04-2014	04-05	25.52
26-04-2014	05-06	25.45
26-04-2014	06-07	25.99
26-04-2014	07-08	26.45
26-04-2014	08-09	27.63
26-04-2014	09-10	28.6
26-04-2014	10-11	28.73
26-04-2014	11-12	28.3
26-04-2014	12-13	27.61
26-04-2014	13-14	26.84
26-04-2014	14-15	26.58
26-04-2014	15-16	26.55
26-04-2014	16-17	26.74
26-04-2014	17-18	27.27
26-04-2014	18-19	27.75
26-04-2014	19-20	27.84
26-04-2014	20-21	27.94
26-04-2014	21-22	27.85
26-04-2014	22-23	27.32
26-04-2014	23-00	26.32
27-04-2014	00-01	26.72
27-04-2014	01-02	24.39
27-04-2014	02-03	22.54
27-04-2014	03-04	18.99
27-04-2014	04-05	19.62
27-04-2014	05-06	19.19
27-04-2014	06-07	17.49
27-04-2014	07-08	19.52
27-04-2014	08-09	22.51
27-04-2014	09-10	26.4
27-04-2014	10-11	27.1
27-04-2014	11-12	27.36
27-04-2014	12-13	27.06
27-04-2014	13-14	24.59
27-04-2014	14-15	23.15
27-04-2014	15-16	22.01
27-04-2014	16-17	24.03
27-04-2014	17-18	23.74
27-04-2014	18-19	26.76
27-04-2014	19-20	27.08
27-04-2014	20-21	27.55
27-04-2014	21-22	28.03
27-04-2014	22-23	26.94
27-04-2014	23-00	26.33
28-04-2014	00-01	24.69
28-04-2014	01-02	24.78
28-04-2014	02-03	24.59
28-04-2014	03-04	24.06
28-04-2014	04-05	24.1
28-04-2014	05-06	26.87
28-04-2014	06-07	29.6
28-04-2014	07-08	36.32
28-04-2014	08-09	36.18
28-04-2014	09-10	36.52
28-04-2014	10-11	36.7
28-04-2014	11-12	37.6
28-04-2014	12-13	37.61
28-04-2014	13-14	35.51
28-04-2014	14-15	33.96
28-04-2014	15-16	29.59
28-04-2014	16-17	29.56
28-04-2014	17-18	28.88
28-04-2014	18-19	29.34
28-04-2014	19-20	29.52
28-04-2014	20-21	29.81
28-04-2014	21-22	29.58
28-04-2014	22-23	28.81
28-04-2014	23-00	27.47
29-04-2014	00-01	24.42
29-04-2014	01-02	23.43
29-04-2014	02-03	23.26
29-04-2014	03-04	23.94
29-04-2014	04-05	24.52
29-04-2014	05-06	26.76
29-04-2014	06-07	29.6
29-04-2014	07-08	36.23
29-04-2014	08-09	35.58
29-04-2014	09-10	36.18
29-04-2014	10-11	34.97
29-04-2014	11-12	34.28
29-04-2014	12-13	33.52
29-04-2014	13-14	31.14
29-04-2014	14-15	30.27
29-04-2014	15-16	31.12
29-04-2014	16-17	30.42
29-04-2014	17-18	29.91
29-04-2014	18-19	29.54
29-04-2014	19-20	29.79
29-04-2014	20-21	30.21
29-04-2014	21-22	30.5
29-04-2014	22-23	28.9
29-04-2014	23-00	27.76
30-04-2014	00-01	29.35
30-04-2014	01-02	28.82
30-04-2014	02-03	28.24
30-04-2014	03-04	28.1
30-04-2014	04-05	28.57
30-04-2014	05-06	30.42
30-04-2014	06-07	35.03
30-04-2014	07-08	44.93
30-04-2014	08-09	52.26
30-04-2014	09-10	49.11
30-04-2014	10-11	42.98
30-04-2014	11-12	42.04
30-04-2014	12-13	39.94
30-04-2014	13-14	39.98
30-04-2014	14-15	38.06
30-04-2014	15-16	36.2
30-04-2014	16-17	34.02
30-04-2014	17-18	32.59
30-04-2014	18-19	35.15
30-04-2014	19-20	36.34
30-04-2014	20-21	35.9
30-04-2014	21-22	34.08
30-04-2014	22-23	32.04
30-04-2014	23-00	29.31
01-05-2014	00-01	28.21
01-05-2014	01-02	26.19
01-05-2014	02-03	23.91
01-05-2014	03-04	20.8
01-05-2014	04-05	21.07
01-05-2014	05-06	22.64
01-05-2014	06-07	21.03
01-05-2014	07-08	25.62
01-05-2014	08-09	27.38
01-05-2014	09-10	28.2
01-05-2014	10-11	28.54
01-05-2014	11-12	28.58
01-05-2014	12-13	28.27
01-05-2014	13-14	28.15
01-05-2014	14-15	27.33
01-05-2014	15-16	27.22
01-05-2014	16-17	27.36
01-05-2014	17-18	27.62
01-05-2014	18-19	28.24
01-05-2014	19-20	28.97
01-05-2014	20-21	29.02
01-05-2014	21-22	29.34
01-05-2014	22-23	28.65
01-05-2014	23-00	26.95
02-05-2014	00-01	25.06
02-05-2014	01-02	23.45
02-05-2014	02-03	24.08
02-05-2014	03-04	25.15
02-05-2014	04-05	26.24
02-05-2014	05-06	28.13
02-05-2014	06-07	30
02-05-2014	07-08	34.26
02-05-2014	08-09	37.49
02-05-2014	09-10	37.19
