Date	Hours	FI
08-01-2014	18-19	39.04
08-01-2014	19-20	39.13
08-01-2014	20-21	35.14
08-01-2014	21-22	33.3
08-01-2014	22-23	30.32
08-01-2014	23-00	28.49
09-01-2014	00-01	27.18
09-01-2014	01-02	26.5
09-01-2014	02-03	24.83
09-01-2014	03-04	26.66
09-01-2014	04-05	27.18
09-01-2014	05-06	30.32
09-01-2014	06-07	38.23
09-01-2014	07-08	48.09
09-01-2014	08-09	49.18
09-01-2014	09-10	48.08
09-01-2014	10-11	35.54
09-01-2014	11-12	36.63
09-01-2014	12-13	36.52
09-01-2014	13-14	35.94
09-01-2014	14-15	54.11
09-01-2014	15-16	56.51
09-01-2014	16-17	58.01
09-01-2014	17-18	50.1
09-01-2014	18-19	38.73
09-01-2014	19-20	39.89
09-01-2014	20-21	31.91
09-01-2014	21-22	32.77
09-01-2014	22-23	29.03
09-01-2014	23-00	27.43
10-01-2014	00-01	26.94
10-01-2014	01-02	25.95
10-01-2014	02-03	24.85
10-01-2014	03-04	25.62
10-01-2014	04-05	27.29
10-01-2014	05-06	32.9
10-01-2014	06-07	48.02
10-01-2014	07-08	58.03
10-01-2014	08-09	58.06
10-01-2014	09-10	55.45
10-01-2014	10-11	48
10-01-2014	11-12	44.02
10-01-2014	12-13	44.04
10-01-2014	13-14	42.54
10-01-2014	14-15	54.04
10-01-2014	15-16	58.06
10-01-2014	16-17	58.06
10-01-2014	17-18	57.89
10-01-2014	18-19	47.36
10-01-2014	19-20	37.95
10-01-2014	20-21	34.34
10-01-2014	21-22	33.55
10-01-2014	22-23	32.02
10-01-2014	23-00	29.28
11-01-2014	00-01	29.22
11-01-2014	01-02	28.17
11-01-2014	02-03	27.88
11-01-2014	03-04	27.6
11-01-2014	04-05	27.42
11-01-2014	05-06	28.27
11-01-2014	06-07	28.7
11-01-2014	07-08	31.79
11-01-2014	08-09	33.41
11-01-2014	09-10	33.96
11-01-2014	10-11	33.92
11-01-2014	11-12	33.53
11-01-2014	12-13	34.24
11-01-2014	13-14	34.65
11-01-2014	14-15	37.96
11-01-2014	15-16	47.04
11-01-2014	16-17	48.84
11-01-2014	17-18	49.29
11-01-2014	18-19	47.04
11-01-2014	19-20	38.07
11-01-2014	20-21	33.53
11-01-2014	21-22	37.92
11-01-2014	22-23	33.04
11-01-2014	23-00	30.35
12-01-2014	00-01	28.66
12-01-2014	01-02	28.09
12-01-2014	02-03	27.91
12-01-2014	03-04	28
12-01-2014	04-05	28.15
12-01-2014	05-06	28.4
12-01-2014	06-07	28.59
12-01-2014	07-08	28.91
12-01-2014	08-09	30.07
12-01-2014	09-10	30.34
12-01-2014	10-11	31.6
12-01-2014	11-12	31.49
12-01-2014	12-13	31.07
12-01-2014	13-14	31.08
12-01-2014	14-15	33.5
12-01-2014	15-16	38.09
12-01-2014	16-17	45.14
12-01-2014	17-18	45.07
12-01-2014	18-19	43.13
12-01-2014	19-20	37.86
12-01-2014	20-21	35.16
12-01-2014	21-22	33.44
12-01-2014	22-23	33.04
12-01-2014	23-00	31.39
13-01-2014	00-01	30.14
13-01-2014	01-02	29.28
13-01-2014	02-03	28.75
13-01-2014	03-04	28.5
13-01-2014	04-05	30.33
13-01-2014	05-06	37.87
13-01-2014	06-07	50.33
13-01-2014	07-08	58.65
13-01-2014	08-09	59.35
13-01-2014	09-10	54.98
13-01-2014	10-11	45.02
13-01-2014	11-12	43.78
13-01-2014	12-13	41.53
13-01-2014	13-14	45.06
13-01-2014	14-15	56.57
13-01-2014	15-16	80.02
13-01-2014	16-17	80.03
13-01-2014	17-18	67.07
13-01-2014	18-19	61.69
13-01-2014	19-20	53.01
13-01-2014	20-21	39.52
13-01-2014	21-22	39.09
13-01-2014	22-23	35.12
13-01-2014	23-00	32.34
14-01-2014	00-01	30.39
14-01-2014	01-02	29.65
14-01-2014	02-03	29.56
14-01-2014	03-04	29.15
14-01-2014	04-05	31.24
14-01-2014	05-06	47.29
14-01-2014	06-07	59.29
14-01-2014	07-08	80.86
14-01-2014	08-09	79.96
14-01-2014	09-10	66.38
14-01-2014	10-11	66.95
14-01-2014	11-12	65.89
14-01-2014	12-13	58.57
14-01-2014	13-14	55.01
14-01-2014	14-15	65.9
14-01-2014	15-16	67.1
14-01-2014	16-17	75.01
14-01-2014	17-18	99.96
14-01-2014	18-19	68
14-01-2014	19-20	50.78
14-01-2014	20-21	38.64
14-01-2014	21-22	37.05
14-01-2014	22-23	33.46
14-01-2014	23-00	32.4
15-01-2014	00-01	31.55
15-01-2014	01-02	30.65
15-01-2014	02-03	29.92
15-01-2014	03-04	29.63
15-01-2014	04-05	31.1
15-01-2014	05-06	50.18
15-01-2014	06-07	63.01
15-01-2014	07-08	78.02
15-01-2014	08-09	74.08
15-01-2014	09-10	76.4
15-01-2014	10-11	50.39
15-01-2014	11-12	43.12
15-01-2014	12-13	41.48
15-01-2014	13-14	46.24
15-01-2014	14-15	56.95
15-01-2014	15-16	71.99
15-01-2014	16-17	91.05
15-01-2014	17-18	75.02
15-01-2014	18-19	48.06
15-01-2014	19-20	38.27
15-01-2014	20-21	34.92
15-01-2014	21-22	36.06
15-01-2014	22-23	33.02
15-01-2014	23-00	31.01
16-01-2014	00-01	30.05
16-01-2014	01-02	28.93
16-01-2014	02-03	28.03
16-01-2014	03-04	27.94
16-01-2014	04-05	32.4
16-01-2014	05-06	45.4
16-01-2014	06-07	59.02
16-01-2014	07-08	69.42
16-01-2014	08-09	70.33
16-01-2014	09-10	64.98
16-01-2014	10-11	39.58
16-01-2014	11-12	37.17
16-01-2014	12-13	40.95
16-01-2014	13-14	46.36
16-01-2014	14-15	64.04
16-01-2014	15-16	68.3
16-01-2014	16-17	74.1
16-01-2014	17-18	66.09
16-01-2014	18-19	45.38
16-01-2014	19-20	40.07
16-01-2014	20-21	37.12
16-01-2014	21-22	36.05
16-01-2014	22-23	34.04
16-01-2014	23-00	29.98
17-01-2014	00-01	29.53
17-01-2014	01-02	28.86
17-01-2014	02-03	28.53
17-01-2014	03-04	29.55
17-01-2014	04-05	28.94
17-01-2014	05-06	46.39
17-01-2014	06-07	54.55
17-01-2014	07-08	67.37
17-01-2014	08-09	66.49
17-01-2014	09-10	62.06
17-01-2014	10-11	48.94
17-01-2014	11-12	47.02
17-01-2014	12-13	45.29
17-01-2014	13-14	45.52
17-01-2014	14-15	51.94
17-01-2014	15-16	62.09
17-01-2014	16-17	67.25
17-01-2014	17-18	64.06
17-01-2014	18-19	56.06
17-01-2014	19-20	45.15
17-01-2014	20-21	35.33
17-01-2014	21-22	36.03
17-01-2014	22-23	33.05
17-01-2014	23-00	30.44
18-01-2014	00-01	30.5
18-01-2014	01-02	29.79
18-01-2014	02-03	28.89
18-01-2014	03-04	28.66
18-01-2014	04-05	29.12
18-01-2014	05-06	33.46
18-01-2014	06-07	33.77
18-01-2014	07-08	37.12
18-01-2014	08-09	37.2
18-01-2014	09-10	34.09
18-01-2014	10-11	34.09
18-01-2014	11-12	34.56
18-01-2014	12-13	35.51
18-01-2014	13-14	37.16
18-01-2014	14-15	39.27
18-01-2014	15-16	44.39
18-01-2014	16-17	49.8
18-01-2014	17-18	50.02
18-01-2014	18-19	40.79
18-01-2014	19-20	36.94
18-01-2014	20-21	34.23
18-01-2014	21-22	37.14
18-01-2014	22-23	33.77
18-01-2014	23-00	32.04
19-01-2014	00-01	30.38
19-01-2014	01-02	30.15
19-01-2014	02-03	30.38
19-01-2014	03-04	31.03
19-01-2014	04-05	31.06
19-01-2014	05-06	33.52
19-01-2014	06-07	32.04
19-01-2014	07-08	32.89
19-01-2014	08-09	37.14
19-01-2014	09-10	38.6
19-01-2014	10-11	38.88
19-01-2014	11-12	38.94
19-01-2014	12-13	36.03
19-01-2014	13-14	36.35
19-01-2014	14-15	38.59
19-01-2014	15-16	45.25
19-01-2014	16-17	42.05
19-01-2014	17-18	42.32
19-01-2014	18-19	39.24
19-01-2014	19-20	37.22
19-01-2014	20-21	35.56
19-01-2014	21-22	34.06
19-01-2014	22-23	32.1
19-01-2014	23-00	31.02
20-01-2014	00-01	30.01
20-01-2014	01-02	29.46
20-01-2014	02-03	29.21
20-01-2014	03-04	28.95
20-01-2014	04-05	33.94
20-01-2014	05-06	45.3
20-01-2014	06-07	56.03
20-01-2014	07-08	75.05
20-01-2014	08-09	64.59
20-01-2014	09-10	60.57
20-01-2014	10-11	45.24
20-01-2014	11-12	45.24
20-01-2014	12-13	45.21
20-01-2014	13-14	45.03
20-01-2014	14-15	55.01
20-01-2014	15-16	60.01
20-01-2014	16-17	66.08
20-01-2014	17-18	61.03
20-01-2014	18-19	45.28
20-01-2014	19-20	45.03
20-01-2014	20-21	38.61
20-01-2014	21-22	33.09
20-01-2014	22-23	33.02
20-01-2014	23-00	30.91
21-01-2014	00-01	31.45
21-01-2014	01-02	31.12
21-01-2014	02-03	30.65
21-01-2014	03-04	30.69
21-01-2014	04-05	37.51
21-01-2014	05-06	46.51
21-01-2014	06-07	60.02
21-01-2014	07-08	73.06
21-01-2014	08-09	65.02
21-01-2014	09-10	60.09
21-01-2014	10-11	52.03
21-01-2014	11-12	50.88
21-01-2014	12-13	50.09
21-01-2014	13-14	47.43
21-01-2014	14-15	50.08
21-01-2014	15-16	57.1
21-01-2014	16-17	65.08
21-01-2014	17-18	65.01
21-01-2014	18-19	55.14
21-01-2014	19-20	44.12
21-01-2014	20-21	38.18
21-01-2014	21-22	35.07
21-01-2014	22-23	33.04
21-01-2014	23-00	31.47
22-01-2014	00-01	31.94
22-01-2014	01-02	31.5
22-01-2014	02-03	31.13
22-01-2014	03-04	31.02
22-01-2014	04-05	31.13
22-01-2014	05-06	45.24
22-01-2014	06-07	60.04
22-01-2014	07-08	64.09
22-01-2014	08-09	64.89
22-01-2014	09-10	60.01
22-01-2014	10-11	47.21
22-01-2014	11-12	45.02
22-01-2014	12-13	45.01
22-01-2014	13-14	45.17
22-01-2014	14-15	56.04
22-01-2014	15-16	60.03
22-01-2014	16-17	61.36
22-01-2014	17-18	69.87
22-01-2014	18-19	50.15
22-01-2014	19-20	45.28
22-01-2014	20-21	39.16
22-01-2014	21-22	35.73
22-01-2014	22-23	33.09
22-01-2014	23-00	31.72
23-01-2014	00-01	32.06
23-01-2014	01-02	31.55
23-01-2014	02-03	31.44
23-01-2014	03-04	31.32
23-01-2014	04-05	34.09
23-01-2014	05-06	47.78
23-01-2014	06-07	60.06
23-01-2014	07-08	64.08
23-01-2014	08-09	60.08
23-01-2014	09-10	60.02
23-01-2014	10-11	47.18
23-01-2014	11-12	45.95
23-01-2014	12-13	45.45
23-01-2014	13-14	46.05
23-01-2014	14-15	56.01
23-01-2014	15-16	60.02
23-01-2014	16-17	62.79
23-01-2014	17-18	64.07
23-01-2014	18-19	52.5
23-01-2014	19-20	45.24
23-01-2014	20-21	39.55
23-01-2014	21-22	35.08
23-01-2014	22-23	33.21
23-01-2014	23-00	32.57
24-01-2014	00-01	32.62
24-01-2014	01-02	31.6
24-01-2014	02-03	31.16
24-01-2014	03-04	31.38
24-01-2014	04-05	37.6
24-01-2014	05-06	52.58
24-01-2014	06-07	63.38
24-01-2014	07-08	74.02
24-01-2014	08-09	61
